Bezbariérový byt,Celková plocha,Celková plocha nebytových prostor,Cena,Charakter okolní zástavby,Další nebytové prostory,Dispozice,Doprava,Druh objektu,Druh pozemku,Druh prostor,Dílny a provozovny,Elektřina,Energetická náročnost budovy,GPS coordinates,Garáž,Images,Inženýrské sítě,K nastěhování,Měrná vypočtená roční spotřeba energie v kWh/m²/rok,Občanská vybavenost,Odpad,Ostatní rozvody,Plocha kanceláří,Plocha parcely,Plocha skladů,Plocha zahrady,Plyn,Podlahová plocha,Poloha objektu,Poznámka k ceně,Počet parkovacích míst,Počet podlaží pod zemí,Počet podlaží v objektu,Property Description,Property Name,Rok výstavby,Stav objektu,Telekomunikace,Typ domu,Typ nemovitosti,URL,Umístění objektu,Upozornění,Užitná plocha,Vlastnictví,Voda,Vybaveno,Výtah,Zastavěná plocha,id,listing_hash,Číslo podlaží,Číslo zakázky
,,,"11 990 000
																		CZK/ za nemovitost",Obytná,,3+kk,"Vlak, Dálnice, Silnice, MHD, Autobus",Smíšená,,,,400 V,B,"50°02'29.1""N,14°34'04""E",Ano,N/A,,,56,,Kanalizace,,,,,,,118 m²,,,1,1,13,"Ke koupi nabízím prostorný byt 3+kk s bohatým venkovním prostorem, pohodlným parkováním a prostorným sklepem v oblíbené lokalitě Praha 15 Horní Měcholupy.Byt nabízí 88,1 m² vnitřní podlahové plochy a nachází se v 7. nadzemním podlaží novostavby z roku 2016 se dvěma výtahy od společnosti Central Group.Dispozici bytu tvoří velký obývací pokoj s kuchyňským koutem (téměř 39 m²) s navazující lodžií (10,6 m²), ložnice (13 m²) s balkonem (4,6 m²), druhá ložnice (12,7 m²) s druhou lodžií (9,2 m²), koupelna, samostatná toaleta a praktická komora. Příslušenstvím bytu je sklep (5,4 m²) a garážové parkovací stání v suterénu domu.Okna disponují přípravou pro osazení venkovními roletami, lodžie jsou kompletně zasklené. Otevřené výhledy do okolí si tak budete moci užívat za každého počasí.Lokalita nabízí vynikající dopravní obslužnost a kompletní občanskou vybavenost. Hned u domu je autobusová zastávka Janovská s přímým spojením na metro C Háje (8 min. jízdy) nebo metro A Skalka (18 min. jízdy). Využít můžete také vlakové spojení z nedaleké stanice Horní Měcholupy (12 min. chůze nebo 1 zastávku autobusem). Jen 5 minut chůze je vzdálen Kaufland s přilehlým retail parkem, ve kterém pohodlně odbavíte i větší nákupy.V Horních Měcholupech jsou 3 základní školy, k té nejbližší (Veronské náměstí) je to jen 9 minut chůze. Na výběr je také z několika mateřských škol. Za zmínku stojí rodiči oceňovaná soukromá mateřská a základní škola Dino School.Za sportem a na procházky můžete vyrážet do lesoparku Hostivař nebo podél potoka Botiče, kde najdete krásná přírodní zákoutí s piknikovými místy. Ve vodní nádrži Hostivař se můžete v létě koupat, děti budou milovat návštěvy blízkého Krtkova světa.Byt je v osobním vlastnictví a jeho koupi lze financovat hypotečním úvěrem. S jeho vyřízením a vyjednáním nejlepších možných podmínek na současném trhu Vám pomůže náš zkušený hypoteční specialista.Těším se na viděnou na prohlídce!","Prodej bytu 3+kk v osobním vlastnictví 118 m², Praha 10 - Horní Měcholupy(ID 205-NP11549)",,Velmi dobrý,Internet,,Byty,https://www.remax-czech.cz/reality/detail/415482/prodej-bytu-3-kk-v-osobnim-vlastnictvi-118-m2-praha-10-horni-mecholupy,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,94 m²,Osobní,Dálkový rozvod,,Ano,,415482,6ff536577392bc615f7737d3ed9eac1b04e9d16b9903edeadad972a99a53afd1,7,ID 205-NP11549
,,,"3 599 990
																		CZK/ za nemovitost",,,1+kk,,Panelová,,,,,C,"49°12'17.2""N,16°40'11.4""E",,N/A,,,,,Kanalizace,,,,,,,33 m²,,vč. realitního a právního servisu,,,8,"V exkluzivním zastoupení majitele Vám ke koupi nabízíme byt o dispozici 1+kk ve vyhledávané lokalitě Brno – Líšeň, na ul. Strnadova, který je ideální jako investiční příležitost nebo startovací bydlení.Bytová jednotka o celkové výměře 33 m2 se nachází se v 5.patře (6.NP/8) panelového domu. Sestává z prostorné předsíně, ze které je po pravé straně vstup do koupelny s vanou a  na samostatnou toaletu, na předsíň dále navazuje obývací místnost s kuchyňským koutem a krásným výhledem do okolní krajiny. Byt je ve stavu před rekonstrukcí a umožňuje si tak bydlení přizpůsobit vlastním představám. Inspirovat se můžete naší vizualizací.Bytový dům prošel rozsáhlou revitalizací, jejíž součástí bylo zateplení fasády, nový výtah, střecha, plastová okna a předokenní žaluzie.K bytu náleží sklepní kóje o velkosti 1,7 m2 a sdílené prostory sušárny a kočárkárny.Měsíční náklady na bydlení činní 2.652 Kč + elektřina.V blízkosti domu naleznete veškerou občanskou vybavenost, sportovní i kulturní vyžití, přímo u domu školka a několik oblíbených dětských hřišť, snadná dostupnost MHD do centra města (do 15 min), pohodlné parkování.Pro více informací a domluvení termínu prohlídky neváhejte kontaktovat makléře nabídky.V případě většího počtu zájemců bude nemovitost prodána nejvýhodnější nabídce dle kritérií stanovených majitelem, který si zároveň vyhrazuje právo zvolit kupujícího. Všechny uvedené údaje mají pouze informativní charakter a nepředstavují nabídku ve smyslu § 1731 nebo § 1732 občanského zákoníku, ani veřejný příslib dle § 1733 občanského zákoníku. Z této nabídky tak nevzniká nárok na uzavření smlouvy.","Prodej bytu 1+kk v osobním vlastnictví 33 m², Brno(ID 268-NP03067)",,Před rekonstrukcí,,,Byty,https://www.remax-czech.cz/reality/detail/415567/prodej-bytu-1-kk-v-osobnim-vlastnictvi-33-m2-brno,Sídliště,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,33 m²,Osobní,,,Ano,,415567,dc6da6b95e75b825503f6ae23966a1632d25c13bcfaba3089b8d582c76a51dc5,6,ID 268-NP03067
,1 100 m²,,"3 500 000
																		CZK/ za nemovitost",,,,"Dálnice, Silnice, MHD, Autobus",,Pro bydlení,,,230 V,,"49°36'42.1""N,17°17'34.8""E",,N/A,Elektřina,29. 5. 2025,,,Septik,,,,,,,,,,,,,"Nabízíme Vám zajímavý pozemek, který je v katastru nemovitostí vedený jako zahrada o velikosti 988 m2. V současné době je na něm založen ovocný sad. V územním plánu statutárního města Olomouc jsou tyto pozemky vedeny jako plochy smíšené obytné, takže by neměl být problém získat stavební povolení na stavbu RD či jiného objektu, např. k podnikání. Přívod elektřiny je možný, splaškové vody se řeší septikem, pitná voda se řeší samostatným vrtem, tak jako u ostatních domů v nejbližším okolí. K pozemku vede veřejná komunikace a dále k němu vede po samostatném parcelním čísle účelová komunikace o velikosti 338 m2, ke které v rámci kupní ceny bude kupující podílovým spoluvlastníkem ve výši 1/3. V případě zájmu by bylo možné přikoupit ještě další sousedící pozemek o velikosti 482 m2 vedený v katastru nemovitosti jako zastavěná plocha a nádvoří. Lokalita je velmi přívětivá k bydlení, ale i k podnikání, je zde klid, ale dosah a vymoženosti veškeré infrastruktury velkoměsta. Nedaleko je zastávka MHD, hřiště, fitness, školka, hasičská zbrojnice a aktivity místních dobrovolných hasičů, cyklostezka, restaurace, obchody, nemocnice, Svatý kopeček, ZOO…. Pokud budete mít zájem, tak mě neváhejte kontaktovat k prohlídce či dalším podrobnostem.","Prodej pozemku 1100 m², Olomouc(ID 064-NP04054)",,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415487/prodej-pozemku-1100-m2-olomouc,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,,415487,147d4aff499390e6d968bb3440dc9cebf1add7835ec827a111d2606278d56c81,,ID 064-NP04054
,,,"12 500 000
																		CZK/ za nemovitost",Obytná,,,"Dálnice, Silnice, Autobus",Cihlová,,,,"230 V, 400 V",B,"50°05'39.7""N,15°14'12.9""E",,N/A,,29. 5. 2025,108,,Kanalizace,,,934 m²,,,,,Samostatný,cena včetně provize a právního servisu,4,,2,"Moderní novostavba 5+kk se saunou, krbem a špičkovými technologiemi vytápění.Nabízíme k prodeji výjimečnou novostavbu o dispozici 5+kk, která splní i ty nejnáročnější požadavky na pohodlné, úsporné a moderní bydlení. Dům je situován na pozemku o celkové výměře 934 m², z toho 157 m² tvoří zastavěná plocha a 777 m² udržovaná zahrada poskytující dostatek soukromí i prostoru k relaxaci.Stavba je postavena z kvalitního materiálu EcoTon, zateplená 20 cm izolací a osazena plastovými okny s trojskly značky Gealan (Německo), což zajišťuje vynikající tepelnou i akustickou izolaci. Střecha je rovná, složená z vrstvy geotextilie, NPVC fólie a finální kačírkové úpravy.Dispozičně dům nabízí pět místností s kuchyňským koutem, dvě koupelny, prostornou šatnu a technickou místnost. Na pozemku je umístěna také sauna, která spolu se zahradou tvoří perfektní zázemí pro odpočinek.Vytápění zajišťuje tepelné čerpadlo ve spojení s podlahovým topením. Ohřev vody je řešen přes bojler, který je doplněn o solární panely instalované před dvěma měsíci. Celý systém lze pohodlně ovládat přes mobilní aplikaci. Jako další zdroj tepla a útulné atmosféry poslouží krb umístěný v obývacím pokoji.Dům je napojen na veřejný vodovod i kanalizaci, rozvody vody jsou provedeny kvalitním potrubím se změkčovačem vody.Součástí kupní ceny je prostorná kuchyňská linka na míru včetně spotřebičů, vestavěná šatní skříň v ložnici a vestavěné úložné prostory na chodbě. Vše je zpracováno ve vysokém standardu a sladěno do harmonického celku.Tato nemovitost představuje ideální volbu pro rodinu hledající kvalitní, bezúdržbové a energeticky efektivní bydlení, v klidném prostředí a s maximálním komfortem.","Prodej domu 188 m², Volárna(ID 059-NP07532)",,Novostavba,Internet,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415540/prodej-domu-188-m2-volarna,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,188 m²,,"Zdroj pro celý objekt, Dálkový rozvod",Ano,,157 m²,415540,71510f5167a37c9d66ea9c05e52619de3410d2297c5751b121091b97c7eadda0,,ID 059-NP07532
,,,"7 700 000
																		CZK/ za nemovitost",Obytná,,3+1,,Panelová,,,,230 V,C,"50°07'52.8""N,14°28'00.4""E",,N/A,,,,,Kanalizace,,,,,,,72 m²,,Cena je uvedena včetně právního servisu a provize RK.,,1,11,"Nabízím k prodeji světlý a udržovaný byt o dispozici 3+1 s užitnou plochou cca 72m² ve vyhledávané lokalitě Praha 8 – Kobylisy. Byt se nachází ve 10. patře panelového domu s výtahem a nabízí krásný výhled do okolní zeleně.Součástí bytu je zasklená lodžie (5m2), praktická dispozice s oddělenou kuchyní, obývacím pokojem, dvěma ložnicemi, koupelnou se sprchovým koutem a samostatnou toaletou. Byt je z části po rekonstrukci – koupelna a kuchyň jsou ve velmi dobrém stavu.Dům je zateplený, výtah je nový, společné prostory čisté a udržované.VÝHODY:Skvělá dopravní dostupnost – stanice metra C „Ládví“ v docházkové vzdálenosti cca 50m nebo vzdálenější stanice metra KobylisyKlidná a zelená lokalita s parky, školami a veškerou občanskou vybavenostíByt je vhodný jak na vlastní bydlení, tak i jako investiceDostatek úložného prostoruByt je v osobním vlastnictví, možnost financování hypotékou.Pro více informací mě neváhejte kontaktovat.","Prodej bytu 3+1 v osobním vlastnictví 72 m², Praha 8 - Kobylisy(ID 218-NP06488)",,Dobrý,Internet,,Byty,https://www.remax-czech.cz/reality/detail/415490/prodej-bytu-3-1-v-osobnim-vlastnictvi-72-m2-praha-8-kobylisy,Sídliště,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,67 m²,Osobní,Dálkový rozvod,,Ano,,415490,213c26676bf3b6eff35eba206c128af9612e3390c6ffd62305d8eaa1dcd578b2,10,ID 218-NP06488
,,,"8 290 000
																		CZK/ za nemovitost",Obytná,,,,Cihlová,,,,400 V,G,,,N/A,,,,,Kanalizace,,,2 611 m²,,2 611 m²,,,Samostatný,,,1,3,"Ve výhradním zastoupení majitele Vám nabízíme dvougenerační rodinný dům v Karviné- Ráji. Dům o zastavěné ploše 114 m², má dvě nadzemní a jedno podzemní podlaží. Je v udržovaném stavu s fotovoltaikou s ostrovním systémem. Výměra oploceného pozemku 2 611 m².V 1.NP se nachází bytová jednotka 3+1 s možnosti rozšíření na 4+1 o podlahové ploše 93 m². Ze zádveří můžeme vstoupit do chodby a dále do kuchyně, nebo do 1.NP. Žádné zbytečné haly nebo prostorné chodby - vše účelné a jednoduché. Z kuchyně vstup do koupelny nebo obývacího pokoje a dále do ložnice a dětského pokoje. Ze zádveří můžete využít i vstup na WC a do druhé koupelny – tohle oceníte hlavně v letních měsících při trávení volného času na zahrádce.Ve 2.NP se nachází bytová jednotka 3+1 o podlahové ploše 85 m² i zde je možnost rozšíření na 4+1. Dispozice je totožná. Kuchyně, obývací pokoj, ložnice, dětský pokoj, koupelna a terasa.Všechny obytné místnosti mají okna JZ směrem. Nikde žádné zbytečné chodby. V celém domě betonové podlahy i stropy, vyměněny okna a vstupní dveře PVC.Podzemní podlaží má podlahovou plochu 93 m² a nachází se zde 5 skladovacích prostor a kotelna.Vytápění ústředním topením s automat. kotlem na peletky s ohřevem teplé vody. Sklep je suchý bez vlhkosti.Fotovoltaika zprovozněná 4/2022 s ostrovním systémem (baterie).Na zahradě zděná garáž, hospodářská budova – zastavěná plocha 40 m², se sedlovou střechou a dalšími úložnými prostory. A také schválená studna, venkovní posezení a parkovací stání…Pozemek o výměře 1 609 m² lze využít ke stavbě jednoho, případně dvou rodinných domů. Je celo oplocený s výhledem do zeleně s dostatkem slunce.Dle platného územního plánu se jedná o plochu Bydlení individuální BI. Hlavní využití -bydlení v rodinných domech. Intenzita využití stavebního pozemku-index zastavění max. 25%.Elektřina, plyn, voda i kanalizace v blízkosti pozemku, s možností napojení.To nejdůležitější - klidná část města, žádný satelit...V Karviné je kompletní občanská vybavenost. Dvě nemocnice, obchody, restaurace, pošty, lékárny, mateřské školy, základní školy, Slezská univerzita, Lázně Darkov, stadiony- zimní, fotbalový a další sportoviště, golf, bazény, koupaliště, Darkovské moře…Dům se nachází ve slepé ulici s asfaltovou komunikací, zimní údržba je zajištěna.Proč tato nemovitost ?-dvougenerační bydlení-bydlení pro jednu rodinu s možnosti vybudovat posilovnu, hernu, saunu…-bydlení, podnikání, kanceláře…-investice, pronájem…-na pozemku možnost výstavby rodinných domů.Možnost získání velmi zajímavých dotačních titulů na kompletní rekonstrukci: Zelená úsporám, Oprav dům po babičce…Výborná dopravní dostupnost do okolních měst: Ostrava, Frýdek-Místek, Český Těšín.Bus, vlak, dálnice.S financováním Vám rádi pomohou naší finanční specialisté.Pro bližší informace nebo termín sjednání schůzky mne prosím kontaktujte.","Prodej domu 140 m², Karviná(ID 306-NP83338)",,Dobrý,,Patrový,Domy a vily,https://www.remax-czech.cz/reality/detail/415571/prodej-domu-140-m2-karvina,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,140 m²,,Dálkový rozvod,Ano,,114 m²,415571,bd3d1b2d4945036629c17a3f1b5e95fb0ed017125cbc4420405107bd951dca40,,ID 306-NP83338
,,,"8 990 000
																		CZK/ za nemovitost",,,,"Dálnice, Silnice, Autobus",Dřevěná,,,,"230 V, 400 V",A,"50°41'15.1""N,13°56'21.6""E",Ano,N/A,,,43,,Septik,,,1 653 m²,,1 344 m²,,,Samostatný,vč. kompletního realitního a právního servisu a provize,,,1,"Hledáte nový domov v klidné lokalitě Chabařovic?  Nabízíme Vám k prodeji rodinný dům 4+1 se zasklenou krytou terasou a zimní zahradou, prostornou garáží, krytým bazénem a krásným oploceným pozemkem s jezírkem o celkové výměře 1.653 m², z toho samotná zahrada o výměře 1344 m². Nabízí tak výborný potenciál klidného rodinného bydlení v přírodě a zeleni, s dobrou dostupností do Ústí n.L., Teplic, na dálnici D8.Stavba domu (s č.ev.) byla kolaudována v r. 2013 (kompletní stavební dokumentace je k dispozici). Dřevostavba má jedno obytné podlaží Dispozičně je dům řešen jako 4+kk s krytou terasou (32,4 m²) a zimní zahradou, prostornou garáží (41 m²), Na oplocené nádherné zahradě jsou vzrostlé keře a stromy, bazén, posezení u ohniště a zahradní domek.V 1. NP (vnitřní podlahová plocha 107,61 m²) najdeme zádveří, spojovací chodbu, obývací pokoj s kuchyní a jídelnou (33,7 + 11,13 m²), 3 samostatné pokoje/ložnice (14,4 + 2x9,75 m²), koupelnu s WC, sprch. Koutem a vanou (11,25 m²), druhým WC a krytou terasou s posezením (32,4 m²) a zimní zahradou (26,6 m²). Kuchyň s jídelnou tvoří jeden celek s prostorným obývacím pokojem s krbem. Z terasy a zimní zahrady (oboje zasklené) je vstup na zadní část zahrady s bazénem, zahradní sprchou a posezením u ohniště. Na pozemku se nachází i samostatná stavba garáže s el. vraty a zahradní domek/buňka. Příjezd je po zpevněné komunikaci.Dům není podsklepený, je zateplený a odizolovaný. Voda je vlastní ze studny, vytápění a ohřev vody je zajištěn elektrokotlem s rozvody a krbem s výměníkem.  okna jsou dřevěná zdvojená. Stanová střecha (dřevěné sbíjené vazníky s krytinou BRAMAC. Celkové náklady na provoz domu jsou velmi nízké (do 4.000 Kč/měs.)Rovinatá nádherně udržovaná okrasná zahrada nabízí díky keřům a stromům dostatek soukromí a umožňuje tak klidnou relaxaci u bazénu, jezírka nebo posezení u ohně. Po celém pozemku/zahradě je rozvedena jak voda, tak i elektrika.Samotná lokalita, ideální pro klidné, pohodové a úsporné rodinné bydlení. Do centra Ústí nad Labem nebo na dálnici D8 se autem dostanete za pár minut.Pokud hledáte nemovitost s potenciálem, neváhejte kontaktovat makléře nabídky, který Vám rád poskytne další informace a domluví termín osobní prohlídky.  Prodávající má právo vybrat si zájemce na základě jím zvolených kritérií. V případě více zájemců prodej nejvýhodnější nabídce. Zároveň pomůžeme s případným financováním.","Prodej domu 108 m², Chabařovice(ID 024-NP07128)",,Velmi dobrý,Internet,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415500/prodej-domu-108-m2-chabarovice,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,108 m²,,,Ano,,146 m²,415500,d9b718a8ecc16dcca025576c777fe12c2401aec80ac76c0eed9bdb9ba8925bd7,,ID 024-NP07128
,,,"6 230 000
																		CZK/ za nemovitost",,,,"Silnice, Autobus",Cihlová,,,,"230 V, 400 V",G,"50°18'27.6""N,15°51'26.7""E",,N/A,,,,,Kanalizace,,,1 204 m²,,,Plynovod,,Samostatný,"vč. právního servisu, provize RK",,,1,"Ve výhradním zastoupení společností RE/MAX Future, Vám tímto nabízíme ke koupi rodinný dům s pozemkem o celkové výměře 1 204 m², nacházejícím se v obci Holohlavy. Holohlavy jsou vzdáleny 15 km od Hradce Králové.Jednopodlažní rodinný dům disponuje v přízemí zádveřím, chodbou, třemi samostatnými pokoji, kuchyní, koupelnou s vanou a samostatnou toaletou. Z chodby vedou schody na půdu a je odtud také přístup do menšího sklepa. Za domem se nachází garáž a dílna.V uplynulých letech prošel dům několika postupnými rekonstrukcemi. Bylo provedeno podřezání a zateplení domu, vyměněna okna i vstupní dveře. Přibližně před 15 lety byl instalován nový kotel, který zajišťuje vytápění i ohřev vody. V jedné z místností jsou navíc krbová kamna, která lze propojit s teplovodním výměníkem.Dům je napojen na veřejnou kanalizaci, obecní vodovod, plynovod a elektrickou síť s napětím 230/400 V. Na oploceném pozemku se nachází vlastní studna a vzrostlé ovocné stromy – jabloně, třešně, švestka a vlašský ořech.Aktuální měsíční náklady na provoz činí cca 5.000,-Kč. Průkaz energetické náročnosti se připravuje.Nájezd na dálnici D11 vzdálen 860 m.V Holohlavech se nachází mateřská škola, obecní úřad, potraviny, autobusová zastávka na hlavní trati mezi Hradcem Králové a Jaroměří. Na Holohlavy navazují Smiřice, kde je k dispozici kompletní občanská vybavenost. Město Smiřice nabízí svým obyvatelům kompletní občanskou vybavenost. Najdete zde základní a mateřskou školu, zdravotní středisko s praktickým i dětským lékařem a lékárnou. K dispozici jsou obchody, restaurace aj. Pro sportovní a volnočasové aktivity slouží sportovní areál, fotbalové hřiště, tenisové kurty, dětská hřiště a kulturní dům. Ve městě se nachází vlaková stanice na hlavní trati mezi Hradcem Králové a Jaroměří.Pokud máte zájem o bližší informace, neváhejte mě kontaktovat prostřednictvím e-mailu nebo telefonicky.","Prodej domu 98 m², Holohlavy(ID 211-NP04334)",,Velmi dobrý,,Přízemní,Domy a vily,https://www.remax-czech.cz/reality/detail/415489/prodej-domu-98-m2-holohlavy,,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,98 m²,,Dálkový rozvod,,,131 m²,415489,e0ff8bcf3928247baacf56f86891fc95d25f241840ae08510e0ddfa67018b906,,ID 211-NP04334
,,,"4 250 000
																		CZK/ za nemovitost",,,2+1,,Panelová,,,,,G,"49°57'23.9""N,14°03'01.4""E",,N/A,,29. 5. 2025,,,Kanalizace,,,,,,Plynovod,63 m²,,,,,12,"Exkluzivně nabízím k prodeji byt 2+1 se 3 lodžiemi v lokalitě Beroun - Třída Míru 1397/169. Tento velmi pěkně řešený byt o celkové rozloze 63 m² se nachází v 2. patře zatepleného panelového domu s výtahem.Byt je v původním stavu a poskytuje ideální příležitost k realizaci vlastních úprav a modernizací. Součástí bytu je kuchyňská linka, která je vybavena plynovým sporákem s elektrickou troubou. Komfort uživatele bytu zvyšují 3 lodžie o celkové rozloze 11 m². Byt nabízí prostorný obývací pokoj s dostatkem denního světla. V obytných místnostech jsou parkety pokryté kobercem, v kuchyni s jídelním koutem, koupelně a na chodbě je linoleum. Koupelna má umakartové jádro s vanou. K bytu náleží sklepní kóje o rozloze 1 m². Vytápění bytu a ohřev vody je centrální dálkové. Byt má dřevěná okna a je k dispozici ihned.Bytový dům se nachází v centru města Beroun. V okolí domu naleznete mateřské a základní školy, gymnázium Joachima Barranda, zdravotnická zařízení včetně nemocnice a polikliniky. Je zde také široká nabídka obchodů a restaurací. Pro volný čas jsou k dispozici sportovní areály, aquapark, zimní stadion, golfové hřiště a kulturní zařízení. Lokalita nabízí dostatek zeleně, na své si přijdou také milovníci cyklistiky, in-line bruslení či turistiky.Beroun má vynikající dopravní spojení. Autem se po dálnici D5 dostanete na pražský Zličín za 15–20 minut. Vlakové a autobusové spojení zajišťuje rychlý přístup do Prahy.Domluvte si prohlídku ještě dnes, rád Vás tímto bytem osobně provedu. S financováním Vám pomůže náš hypoteční specialista.","Prodej bytu 2+1 v osobním vlastnictví 63 m², Beroun(ID 254-NP00792)",,Velmi dobrý,,,Byty,https://www.remax-czech.cz/reality/detail/415543/prodej-bytu-2-1-v-osobnim-vlastnictvi-63-m2-beroun,Centrum obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,63 m²,Osobní,,Ano,Ano,,415543,47f0df4936291415de0d228e0e2c908e88f2b33105875fd4f5b7fe8007928521,3,ID 254-NP00792
,499 m²,,"6 900 000
																		CZK/ za nemovitost",,,,,Cihlová,,Obchodní,,"230 V, 400 V",G,"49°33'36.4""N,12°46'15.9""E",,N/A,,,,,Kanalizace,,499 m²,,,750 m²,Plynovod,,,cena je včetně právních služeb a provize RK,,,2,"Hledáte místo k podnikání se dvěma byty na Domažlicku? Právě jste ho našli. Předmětem prodeje je prodejna, nebo místo pro různou malovýrobu s bytem č.1, 3+kk (cca 82m2) po rekonstrukci a bytem č.2 3+1 (cca 125m2) před rekonstrukcí v obci Hostouň. Do objektu je zaveden obecní vodovod, plyn, elektřina a kanalizace. Prodejna (292m2) prošla také rekonstrukcí a v zimních měsících je vytápěna plynovým kotlem. V bytě č.1 je elektrokotel a krbová kamna na dřevo. Byt č.2 byl vytápěn kotlem na tuhá paliva. Nemovitost se nachází v horní části Hostouňského náměstí. V roce 2006 byl obci vrácen status města. Město Hostouň se nachází v okrese Domažlice v Plzeňském kraji. Ve městě a jeho místních částech celkem žije 1213 obyvatel. Je to nejmenší město v okrese Domažlice.Podrobnější info na mobilu, nebo v emailu.Na viděnou na prohlídce.","Prodej obchodních prostor 499 m², Hostouň(ID 003-NP04666)",,Dobrý,,Patrový,Komerční prostory,https://www.remax-czech.cz/reality/detail/415547/prodej-obchodnich-prostor-499-m2-hostoun,Klidná část obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,Dálkový rozvod,,,286 m²,415547,ff2bc810a01f2d1eec9e125d1b047799504ca4361aca8856a893a52f63ea90a8,,ID 003-NP04666
,469 m²,,"1 590 000
																		CZK/ za nemovitost",,,,"Silnice, Autobus",,Pro bydlení,,,,,"49°29'23.9""N,13°06'41.7""E",,N/A,"Vodovod, Kanalizace, Elektřina",,,,Kanalizace,,,,,,,,,,,,,"Hledáte ideální místo pro svůj budoucí domov v klidné lokalitě? Nabízíme vám ke koupi stavební pozemek o výměře 469 m² v obci Koloveč (Plzeňský kraj), včetně 1/2 podílu na příjezdové cestě. Jedná se o velmi atraktivní nabídku pro klienty, kteří chtějí stavět bez zbytečných průtahů – stavební povolení je již vydáno a projekt domu je součástí prodeje.O pozemkuVýměra pozemku: 469 m²Příjezdová cesta: spoluvlastnický podíl 1/2 na přístupové komunikaci o výměře 178 m²Inženýrské sítě: obecní voda, elektřina, kanalizaceProjektová dokumentace a platné stavební povolení – ihned možno začít stavětProjekt domuSoučástí prodeje je kompletní dokumentace na moderní, přízemní rodinný dům typu bungalov s dispozicí 4+kk a užitnou plochou cca 78,8 m². Dům je navržen s důrazem na funkčnost, světlost a pohodlné rodinné bydlení. V projektu je počítáno s prostorným obývacím pokojem s kuchyňským koutem, třemi samostatnými ložnicemi, koupelnou, samostatným WC, technickou místností a zádveřím.LokalitaKoloveč je příjemná a dobře dostupná obec přibližně 15 km jihozápadně od Domažlic. Nabízí kompletní občanskou vybavenost – mateřskou a základní školu, zdravotní středisko, obchody i další služby. Okolní příroda je jako stvořená pro relaxaci, procházky, cyklistiku i turistiku. Díky své poloze je Koloveč vhodný jak pro trvalé bydlení, tak jako rekreační zázemí.","Prodej pozemku 469 m², Koloveč(ID 343-NP00431)",,,,,Pozemky,https://www.remax-czech.cz/reality/detail/415552/prodej-pozemku-469-m2-kolovec,Okraj obce,Prodávající si vyhrazuje právo vybrat kupujícího na základě jím zvolených kritérií.,,,,,,,415552,5f2e92b74695da9fed26314f5fe604396c6a6ed48b5144eafa76cb367df39594,,ID 343-NP00431
